alpha1,seed,model,tau,approval_rate_overall,female_n,male_n,female_fraction,male_fraction,mean_probability_female,proxy_auc,proxy_accuracy,C_m,C_f,A_m,A_f,P_m,P_f,TP_m,TP_f,N_m,N_f,FP_m,FP_f,approval_rate_m,approval_rate_f,TPR_m,TPR_f,FPR_m,FPR_f,DP,EO,data_scope,dataset_sha256,threshold_policy
0.0,5,logistic_regression,0.8,0.6591845128430495,443360,444080,0.49959433877219867,0.5004056612278013,0.5,0.499964146836529,0.5002648066348148,88741,88748,58549,58449,67497,67762,46314,46358,15398,15215,8660,8588,0.6597739489074949,0.6585951232703836,0.6861638295035335,0.6841297482364748,0.5624107026886609,0.5644429838974696,0.001178825637111247,0.0020340812670587294,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,5,random_forest,0.8,0.6619058082472716,443360,444080,0.49959433877219867,0.5004056612278013,0.5,0.499964146836529,0.5002648066348148,88741,88748,58733,58748,67497,67762,46460,46621,15398,15215,8683,8621,0.6618473986094364,0.6619642132780457,0.6883268886024564,0.6880109796050884,0.5639044031692427,0.5666118961551101,0.00011681466860924417,0.0027074929858673658,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,6,logistic_regression,0.8,0.6591845128430495,443487,443953,0.499737447038673,0.5002625529613269,0.5,0.49998104739978694,0.5003436852068872,88991,88498,58800,58198,67871,67388,46632,46040,15357,15256,8674,8574,0.66074097380634,0.6576193812289544,0.6870681145113524,0.6832076927642904,0.5648238588265937,0.5620083901415837,0.0031215925773856457,0.003860421747062026,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,6,random_forest,0.8,0.6619058082472716,443487,443953,0.499737447038673,0.5002625529613269,0.5,0.49998104739978694,0.5003436852068872,88991,88498,58929,58552,67871,67388,46753,46328,15357,15256,8658,8646,0.6621905585958131,0.6616194716264774,0.6888509083408231,0.6874814507033893,0.563781988669662,0.5667278447823807,0.0005710869693357212,0.002945856112718692,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,7,logistic_regression,0.8,0.6591845128430495,443714,443726,0.4999932389795366,0.5000067610204634,0.5,0.5016864478182231,0.5002028306139007,88971,88518,58717,58281,67881,67378,46547,46125,15222,15391,8613,8635,0.6599566150768228,0.6584084592964143,0.6857147066189361,0.684570631363353,0.5658257784785179,0.5610421675004873,0.0015481557804084556,0.004783610978030595,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,7,random_forest,0.8,0.6619058082472716,443714,443726,0.4999932389795366,0.5000067610204634,0.5,0.5016864478182231,0.5002028306139007,88971,88518,58993,58488,67881,67378,46811,46270,15222,15391,8624,8680,0.6630587494801677,0.6607469667186335,0.689603865588309,0.6867226691204844,0.5665484167652083,0.5639659541290365,0.002311782761534209,0.002881196467824587,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,8,logistic_regression,0.8,0.6591845128430495,443292,444148,0.499517713873614,0.500482286126386,0.5,0.5001745594997145,0.5007493464346885,88929,88560,58613,58385,67637,67622,46327,46345,15416,15197,8674,8574,0.6590988316522169,0.6592705510388437,0.6849357600130106,0.685353878915146,0.5626621691748832,0.5641903007172469,0.00017171938662674524,0.0015281315423636421,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,8,random_forest,0.8,0.6619058082472716,443292,444148,0.499517713873614,0.500482286126386,0.5,0.5001745594997145,0.5007493464346885,88929,88560,58915,58566,67637,67622,46609,46472,15416,15197,8691,8613,0.6624947992218512,0.6613143631436315,0.6891050756242885,0.6872319659282482,0.5637649195640893,0.5667565966967164,0.0011804360782197154,0.0029916771326271574,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,9,logistic_regression,0.8,0.6591845128430495,444276,443164,0.5006265212296043,0.49937347877039573,0.5,0.49952024278611556,0.4999830974488416,88472,89017,58208,58790,67286,67973,45987,46685,15321,15292,8623,8625,0.6579256713988607,0.6604356471235832,0.6834556965787831,0.6868168243273064,0.562822270086809,0.5640204028250065,0.0025099757247224463,0.0033611277485232627,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.0,9,random_forest,0.8,0.6619058082472716,444276,443164,0.5006265212296043,0.49937347877039573,0.5,0.49952024278611556,0.4999830974488416,88472,89017,58446,59035,67286,67973,46181,46900,15321,15292,8645,8659,0.6606157880459355,0.6631879303953178,0.6863389115120531,0.6899798449384315,0.5642582076887932,0.5662437876013602,0.0025721423493823004,0.00364093342637839,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
